Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
Município;171820;Porto Nacional;9080;31;0.34;17128.84;0;0;178;1;0.56;335.79;1.96
Município;171830;Praia Norte;325;0;0;3854.36;0;0;7;0;0;83.02;2.15
Município;171840;Presidente Kennedy;318;1;0.32;8631.92;0;0;7;0;0;190.01;2.2
Município;171845;Pugmil;265;0;0;9858.63;0;0;1;0;0;37.2;0.38
Município;171850;Recursolândia;311;0;0;7244.35;0;0;6;0;0;139.76;1.93
Município;171855;Riachinho;358;-1;-0.28;7707.21;0;0;5;0;0;107.64;1.4
Município;171865;Rio da Conceição;139;0;0;6525.82;0;0;2;0;0;93.9;1.44
Município;171870;Rio dos Bois;455;0;0;16055.05;0;0;7;0;0;247;1.54
Município;171875;Rio Sono;290;0;0;4476.69;0;0;3;0;0;46.31;1.03
Município;171880;Sampaio;636;0;0;13500.32;0;0;5;0;0;106.13;0.79
Município;171884;Sandolândia;298;0;0;8829.63;0;0;7;0;0;207.41;2.35
Município;171886;Santa Fé do Araguaia;774;1;0.13;10303.51;0;0;12;0;0;159.74;1.55
Município;171888;Santa Maria do Tocantins;384;0;0;11182.29;0;0;2;0;0;58.24;0.52
Município;171889;Santa Rita do Tocantins;312;13;4.35;13192.39;0;0;1;0;0;42.28;0.32
Município;171890;Santa Rosa do Tocantins;311;1;0.32;6440.26;0;0;6;0;0;124.25;1.93
Município;171900;Santa Tereza do Tocantins;236;0;0;8234.47;0;0;6;0;0;209.35;2.54
Município;172000;Santa Terezinha do Tocantins;162;0;0;6405.69;0;0;3;0;0;118.62;1.85
Município;172010;São Bento do Tocantins;796;0;0;14951.16;0;0;8;0;0;150.26;1.01
Município;172015;São Félix do Tocantins;140;0;0;8832.81;0;0;2;0;0;126.18;1.43
Município;172020;São Miguel do Tocantins;611;3;0.49;5033.36;0;0;15;0;0;123.57;2.45
Município;172025;São Salvador do Tocantins;164;-1;-0.61;5321.22;0;0;2;0;0;64.89;1.22
Município;172030;São Sebastião do Tocantins;556;0;0;11571.28;0;0;7;0;0;145.68;1.26
Município;172049;São Valério da Natividade;439;0;0;11085.86;0;0;12;0;0;303.03;2.73
Município;172065;Silvanópolis;912;6;0.66;16879.51;0;0;23;0;0;425.69;2.52
Município;172080;Sítio Novo do Tocantins;659;0;0;7298.7;0;0;9;0;0;99.68;1.37
Município;172085;Sucupira;256;18;7.56;13021.36;0;0;0;0;0;0;0
Município;172090;Taguatinga;1272;10;0.79;7624.53;0;0;20;0;0;119.88;1.57
Município;172093;Taipas do Tocantins;157;0;0;7309.12;0;0;0;0;0;0;0
Município;172097;Talismã;251;0;0;8986.75;0;0;2;0;0;71.61;0.8
Município;172110;Tocantínia;748;1;0.13;9913.85;0;0;12;0;0;159.05;1.6
Município;172120;Tocantinópolis;2095;7;0.34;9160.47;0;0;43;0;0;188.02;2.05
Município;172125;Tupirama;194;16;8.99;10259.12;0;0;2;0;0;105.76;1.03
Município;172130;Tupiratins;160;-1;-0.62;5990.27;0;0;3;0;0;112.32;1.88
Município;172208;Wanderlândia;896;7;0.79;7669.26;0;0;15;0;0;128.39;1.67
Município;172210;Xambioá;2250;2;0.09;19497.4;0;0;30;1;3.45;259.97;1.33
Região;2;Nordeste;4351261;13.093;0.3;7624.21;0;0;105.257;271;0.26;184.43;2.42
Unidade da Federação;21;MA;314866;1.064;0.34;4450.29;0;0;8.946;27;0.3;126.44;2.84
Município;210005;Açailândia;5381;33;0.62;4785.45;0;0;214;1;0.47;190.32;3.98
Município;210010;Afonso Cunha;226;9;4.15;3464.13;0;0;3;0;0;45.98;1.33
Município;210015;Água Doce do Maranhão;675;0;0;5369.5;0;0;9;0;0;71.59;1.33
Município;210020;Alcântara;306;0;0;1384.8;0;0;16;0;0;72.41;5.23
Município;210030;Aldeias Altas;976;0;0;3678.58;0;0;14;0;0;52.77;1.43
Município;210040;Altamira do Maranhão;318;0;0;3912.4;0;0;11;0;0;135.33;3.46
Município;210043;Alto Alegre do Maranhão;1175;0;0;4343.33;0;0;27;0;0;99.8;2.3
Município;210047;Alto Alegre do Pindaré;2006;20;1.01;6284.66;0;0;45;0;0;140.98;2.24
Município;210050;Alto Parnaíba;880;0;0;7864.16;0;0;10;0;0;89.37;1.14
Município;210055;Amapá do Maranhão;172;0;0;2470.55;0;0;6;0;0;86.18;3.49
Município;210060;Amarante do Maranhão;1585;0;0;3825.27;0;0;53;0;0;127.91;3.34
Município;210070;Anajatuba;937;0;0;3495.88;0;0;23;0;0;85.81;2.45
Município;210080;Anapurus;829;0;0;5269.51;0;0;12;0;0;76.28;1.45
Município;210083;Apicum-Açu;509;0;0;2952.61;0;0;5;0;0;29;0.98
Município;210087;Araguanã;806;0;0;5224.94;0;0;5;0;0;32.41;0.62
Município;210090;Araioses;652;1;0.15;1403.96;0;0;14;1;7.69;30.15;2.15
Município;210095;Arame;1537;28;1.86;4700.16;0;0;36;0;0;110.09;2.34
Município;210100;Arari;703;22;3.23;2355.27;0;0;31;0;0;103.86;4.41
Município;210110;Axixá;191;0;0;1574.61;0;0;7;0;0;57.71;3.66
Município;210120;Bacabal;5111;63;1.25;4869.98;0;0;184;0;0;175.32;3.6
Município;210125;Bacabeira;342;0;0;2005.28;0;0;9;0;0;52.77;2.63
Município;210130;Bacuri;577;0;0;3105.16;0;0;4;0;0;21.53;0.69
Município;210135;Bacurituba;117;0;0;2073;0;0;2;0;0;35.44;1.71
Município;210140;Balsas;9830;0;0;10359.69;0;0;182;0;0;191.81;1.85
Município;210150;Barão de Grajaú;449;0;0;2385.76;0;0;2;0;0;10.63;0.45
Município;210160;Barra do Corda;5710;5;0.09;6473.04;0;0;57;0;0;64.62;1
Município;210170;Barreirinhas;2182;19;0.88;3489.64;0;0;39;0;0;62.37;1.79
Município;210173;Belágua;410;0;0;5489.36;0;0;3;0;0;40.17;0.73
Município;210177;Bela Vista do Maranhão;218;0;0;1944.87;0;0;18;0;0;160.59;8.26
Município;210180;Benedito Leite;314;0;0;5575.28;0;0;2;0;0;35.51;0.64
Município;210190;Bequimão;278;0;0;1306.39;0;0;20;0;0;93.98;7.19
Município;210193;Bernardo do Mearim;292;0;0;4832.04;0;0;6;0;0;99.29;2.05
Município;210197;Boa Vista do Gurupi;15;0;0;161.52;0;0;4;0;0;43.07;26.67
Município;210200;Bom Jardim;1401;0;0;3365.36;0;0;48;0;0;115.3;3.43
Município;210203;Bom Jesus das Selvas;3233;0;0;9501;0;0;24;0;0;70.53;0.74
Município;210207;Bom Lugar;473;0;0;2902.91;0;0;7;0;0;42.96;1.48
Município;210210;Brejo;893;0;0;2453.5;0;0;19;0;0;52.2;2.13
Município;210215;Brejo de Areia;306;0;0;3330.43;0;0;10;0;0;108.84;3.27
Município;210220;Buriti;779;27;3.59;2716.37;0;0;8;0;0;27.9;1.03
Município;210230;Buriti Bravo;1523;41;2.77;6376.65;0;0;15;0;0;62.8;0.98
Município;210232;Buriticupu;3406;9;0.26;4707.15;0;0;53;0;0;73.25;1.56
Município;210235;Buritirana;446;1;0.22;2890.47;0;0;24;0;0;155.54;5.38
Município;210237;Cachoeira Grande;305;0;0;3234.02;0;0;7;0;0;74.22;2.3
Município;210240;Cajapió;128;0;0;1145.21;0;0;7;0;0;62.63;5.47
Município;210250;Cajari;233;1;0.43;1202.33;0;0;8;0;0;41.28;3.43
Município;210255;Campestre do Maranhão;1061;5;0.47;7381.38;0;0;44;0;0;306.11;4.15
Município;210260;Cândido Mendes;108;0;0;535.24;0;0;7;0;0;34.69;6.48
Município;210270;Cantanhede;876;22;2.58;3982.72;0;0;13;0;0;59.1;1.48
Município;210275;Capinzal do Norte;643;0;0;5880.74;0;0;7;0;0;64.02;1.09
Município;210280;Carolina;972;4;0.41;3996.38;0;0;20;0;0;82.23;2.06
Município;210290;Carutapera;914;8;0.88;3839.21;0;0;34;0;0;142.82;3.72
Município;210300;Caxias;10814;18;0.17;6558.71;0;0;252;3;1.2;152.84;2.33
Município;210310;Cedral;202;0;0;1892.27;0;0;4;0;0;37.47;1.98
Município;210312;Central do Maranhão;44;0;0;507.32;0;0;3;0;0;34.59;6.82
Município;210315;Centro do Guilherme;465;0;0;3455.19;0;0;5;0;0;37.15;1.08
Município;210317;Centro Novo do Maranhão;1103;0;0;5101.29;0;0;9;0;0;41.62;0.82
Município;210320;Chapadinha;4804;0;0;6029.49;0;0;112;0;0;140.57;2.33
Município;210325;Cidelândia;562;8;1.44;3823.91;0;0;6;0;0;40.82;1.07
Município;210330;Codó;2914;0;0;2371.82;0;0;198;0;0;161.16;6.79
Município;210340;Coelho Neto;1627;0;0;3291.19;0;0;47;0;0;95.07;2.89
Município;210350;Colinas;3045;5;0.16;7394.73;0;0;46;0;0;111.71;1.51
Município;210355;Conceição do Lago-Açu;221;0;0;1361.09;0;0;11;0;0;67.75;4.98
Município;210360;Coroatá;3107;0;0;4758.33;0;0;67;0;0;102.61;2.16
Município;210370;Cururupu;1350;0;0;4129.07;0;0;25;0;0;76.46;1.85
Município;210375;Davinópolis;587;0;0;4547.57;0;0;26;0;0;201.43;4.43
Município;210380;Dom Pedro;1267;9;0.72;5426.12;0;0;24;0;0;102.78;1.89
Município;210390;Duque Bacelar;755;0;0;6652.57;0;0;13;0;0;114.55;1.72
Município;210400;Esperantinópolis;896;0;0;5196.91;0;0;22;0;0;127.6;2.46
Município;210405;Estreito;3405;1;0.03;8117.58;0;0;54;1;1.89;128.74;1.59
Município;210407;Feira Nova do Maranhão;1488;0;0;17497.65;0;0;9;0;0;105.83;0.6
Município;210408;Fernando Falcão;848;0;0;8185.33;0;0;1;0;0;9.65;0.12
Município;210409;Formosa da Serra Negra;1237;0;0;6480.17;0;0;8;0;0;41.91;0.65
Município;210410;Fortaleza dos Nogueiras;1199;7;0.59;9492.52;0;0;17;0;0;134.59;1.42
Município;210420;Fortuna;1476;0;0;9490.74;0;0;5;0;0;32.15;0.34
Município;210430;Godofredo Viana;149;0;0;1260.68;0;0;5;0;0;42.3;3.36
Município;210440;Gonçalves Dias;988;2;0.2;5509.09;0;0;20;0;0;111.52;2.02
Município;210450;Governador Archer;432;0;0;3985.24;0;0;6;0;0;55.35;1.39
Município;210455;Governador Edison Lobão;615;0;0;3361.39;0;0;31;0;0;169.44;5.04
Município;210460;Governador Eugênio Barros;1228;64;5.5;7297.36;0;0;9;0;0;53.48;0.73
Município;210462;Governador Luiz Rocha;270;3;1.12;3458.43;0;0;1;0;0;12.81;0.37
Município;210465;Governador Newton Bello;765;0;0;7514.73;0;0;8;0;0;78.59;1.05
Município;210467;Governador Nunes Freire;862;0;0;3370.22;0;0;9;0;0;35.19;1.04
Município;210470;Graça Aranha;124;0;0;1980.2;0;0;3;0;0;47.91;2.42
Município;210480;Grajaú;4796;14;0.29;6898.04;0;0;109;0;0;156.77;2.27
Município;210490;Guimarães;367;0;0;3050.71;0;0;7;0;0;58.19;1.91
Município;210500;Humberto de Campos;1621;9;0.56;5644.74;0;0;9;0;0;31.34;0.56
Município;210510;Icatu;261;1;0.38;962.64;0;0;13;1;8.33;47.95;4.98
Município;210515;Igarapé do Meio;726;1;0.14;5120.97;0;0;27;0;0;190.45;3.72
Município;210520;Igarapé Grande;1652;0;0;14593.64;0;0;12;0;0;106.01;0.73
Município;210530;Imperatriz;16852;51;0.3;6514.56;0;0;778;0;0;300.76;4.62
Município;210535;Itaipava do Grajaú;905;1;0.11;5636.17;0;0;9;1;12.5;56.05;0.99
Município;210540;Itapecuru Mirim;2950;22;0.75;4325.32;0;0;74;0;0;108.5;2.51
Município;210542;Itinga do Maranhão;836;3;0.36;3215.38;0;0;28;0;0;107.69;3.35
Município;210545;Jatobá;91;0;0;896.29;0;0;5;0;0;49.25;5.49
Município;210547;Jenipapo dos Vieiras;1139;0;0;6896.76;0;0;20;0;0;121.1;1.76
Município;210550;João Lisboa;701;0;0;2966.32;0;0;55;0;0;232.74;7.85
Município;210560;Joselândia;601;1;0.17;3717.22;0;0;4;0;0;24.74;0.67
Município;210565;Junco do Maranhão;311;0;0;9061.77;0;0;2;0;0;58.28;0.64
Município;210592;Lagoa do Mato;1916;49;2.62;17031.11;0;0;9;0;0;80;0.47
Município;210596;Lagoa Grande do Maranhão;270;1;0.37;2369.67;0;0;10;0;0;87.77;3.7
Município;210570;Lago da Pedra;2687;5;0.19;5345.56;0;0;71;1;1.43;141.25;2.64
Município;210580;Lago do Junco;522;0;0;4815.5;0;0;4;0;0;36.9;0.77
Município;210594;Lago dos Rodrigues;587;0;0;6615.58;0;0;13;0;0;146.51;2.21
Município;210590;Lago Verde;772;0;0;4748.72;0;0;20;0;0;123.02;2.59
Município;210598;Lajeado Novo;387;0;0;5125.83;0;0;12;0;0;158.94;3.1
Município;210600;Lima Campos;1106;0;0;9299.59;0;0;11;0;0;92.49;0.99
Município;210610;Loreto;714;1;0.14;5873.16;0;0;6;0;0;49.35;0.84
Município;210620;Luís Domingues;566;0;0;8142.71;0;0;2;0;0;28.77;0.35
Município;210630;Magalhães de Almeida;509;0;0;2567.34;0;0;7;0;0;35.31;1.38
Município;210632;Maracaçumé;541;0;0;2528.63;0;0;6;0;0;28.04;1.11
Município;210635;Marajá do Sena;231;0;0;2964.58;0;0;4;0;0;51.33;1.73
Município;210637;Maranhãozinho;651;7;1.09;4002.46;0;0;9;0;0;55.33;1.38
Município;210640;Mata Roma;350;0;0;2079.74;0;0;13;0;0;77.25;3.71
Município;210650;Matinha;387;0;0;1655.97;0;0;9;0;0;38.51;2.33
Município;210660;Matões;997;0;0;2951.28;0;0;12;0;0;35.52;1.2
Município;210663;Matões do Norte;240;0;0;1433.26;0;0;6;0;0;35.83;2.5
Município;210667;Milagres do Maranhão;239;0;0;2823.72;0;0;0;0;0;0;0
Município;210670;Mirador;893;0;0;4249.35;0;0;7;0;0;33.31;0.78
